title,search_term_x,dog_order,dog_order_by_size,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed,breed_in_query,queries,term,suggestion,str_position,search_start,search_end_x,search_end_y,search_term_y,term_category,terms_grouped,question_order
Yorkshire Terrier,yorkshire+terrier,60,1,Toy,/search/breeds-a-to-z/breeds/toy/yorkshire-terrier/,/media/1665/yorkshire-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143811590000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,yorkshire+terrier,why+does+my+yorkshire+terrier,why+does+my+yorkshire+terrier,why does my yorkshire terrier shake,12,why does my,shake,shake,shake,health,shake,55
Whippet,whippet,59,2,Hound,/search/breeds-a-to-z/breeds/hound/whippet/,/media/1405/whippet-illustration.png?mode=crop&anchor=center&width=81&height=81&rnd=132404261230000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,whippet,why+does+my+whippet,why+does+my+whippet,why does my whippet shake,12,why does my,shake,shake,shake,health,shake,55
Vizsla,vizsla,57,1,,,,,,,,,Medium,,,,,vizsla,why+does+my+vizsla,why+does+my+vizsla,why does my vizsla shake,12,why does my,shake,shake,shake,health,shake,55
Staffordshire Bull Terrier,staffy,56,3,Terrier,/search/breeds-a-to-z/breeds/terrier/staffordshire-bull-terrier/,/media/1589/staffordshire-bull-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143800790000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,staffy,why+does+my+staffy,why+does+my+staffy,why does my staffy shake,12,why does my,shake,shake,shake,health,shake,55
Shih Tzu,shih+tzu,52,4,Utility,/search/breeds-a-to-z/breeds/utility/shih-tzu/,/media/2976/shih-tzu-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870800000000,Long,Up to 1 hour per day,Every day,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,shih+tzu,why+does+my+shih+tzu,why+does+my+shih+tzu,why does my shih tzu shake,12,why does my,shake,shake,shake,health,shake,55
Shiba Inu,shiba+inu,51,4,,,,,,,,,Medium,,,,,shiba+inu,why+does+my+shiba+inu,why+does+my+shiba+inu,why does my shiba inu shake,12,why does my,shake,shake,shake,health,shake,55
Schnauzer,schnauzer,49,6,Utility,/search/breeds-a-to-z/breeds/utility/schnauzer/,/media/2975/schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870290000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No,schnauzer,why+does+my+schnauzer,why+does+my+schnauzer,why does my schnauzer shake,12,why does my,shake,shake,shake,health,shake,55
Pekingese,pekingese,41,8,Toy,/search/breeds-a-to-z/breeds/toy/pekingese/,/media/1656/pekingese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810270000000,Long,Up to 30 minutes per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,pekingese,why+does+my+pekingese,why+does+my+pekingese,why does my pekingese shake,12,why does my,shake,shake,shake,health,shake,55
Miniature Schnauzer,miniature+schnauzer,40,9,Utility,/search/breeds-a-to-z/breeds/utility/miniature-schnauzer/,/media/2960/miniature-schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143867930000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,miniature+schnauzer,why+does+my+miniature+schnauzer,why+does+my+miniature+schnauzer,why does my miniature schnauzer shake,12,why does my,shake,shake,shake,health,shake,55
Maltese,maltese,38,10,Toy,/search/breeds-a-to-z/breeds/toy/maltese/,/media/1646/maltese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143807800000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,maltese,why+does+my+maltese,why+does+my+maltese,why does my maltese shake,12,why does my,shake,shake,shake,health,shake,55
Jack Russell Terrier,jack+russell,34,12,Terrier,/search/breeds-a-to-z/breeds/terrier/jack-russell-terrier/,/media/1556/jack-russell-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143797020000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Country,No,jack+russell,why+does+my+jack+russell,why+does+my+jack+russell,why does my jack russell shake,12,why does my,shake,shake,shake,health,shake,55
Havanese,havanese,33,13,Toy,/search/breeds-a-to-z/breeds/toy/havanese/,/media/1631/havanese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143805500000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,havanese,why+does+my+havanese,why+does+my+havanese,why does my havanese shake,12,why does my,shake,shake,shake,health,shake,55
German Shorthaired Pointer,gsp,28,10,Gundog,/search/breeds-a-to-z/breeds/gundog/german-shorthaired-pointer/,/media/1164/german-shorthaired-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140424900000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,gsp,why+does+my+gsp,why+does+my+gsp,why does my gsp shake,12,why does my,shake,shake,shake,health,shake,55
German Shorthaired Pointer,gsp,28,10,Gundog,/search/breeds-a-to-z/breeds/gundog/german-shorthaired-pointer/,/media/1164/german-shorthaired-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140424900000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,gsp,why+does+my+gsp,why+does+my+gsp,why does my gsp puppy shake,12,why does my,shake,shake,shake,health,shake,55
French Bulldog,french+bulldog,26,14,Utility,/search/breeds-a-to-z/breeds/utility/french-bulldog/,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,french+bulldog,why+does+my+french+bulldog,why+does+my+french+bulldog,why does my french bulldog shake,12,why does my,shake,shake,shake,health,shake,55
