search_term,term_category,terms_grouped,question_order
attack other s,behaviour,attack other dogs,13
bark,noise,bark,60
bark at everything,noise,bark,60
bark at other s,noise,bark,60
bark so much,noise,bark,60
keep barking,noise,bark,60
keeps barking,noise,bark,60
bark at me,gets personal,bark / howl at me,35
bite,behaviour,bite,14
nip,behaviour,bite,14
puppy bite,behaviour,bite,14
bite me,gets personal,bite me,36
bite my feet,gets personal,bite me,36
keep biting me,gets personal,bite me,36
nibble me,gets personal,bite me,36
breath stink,odeur,breath stink,73
breathe so fast,health,breathe so fast,45
chases his tail,behaviour,chases his tail,15
chew his paws,behaviour,chew his paws,16
cry,noise,cry / groan / whine,62
cry all the time,noise,cry / groan / whine,62
keep crying,noise,cry / groan / whine,62
keeps crying,noise,cry / groan / whine,62
dig holes,behaviour,dig holes,17
drink so much,behaviour,drink so much,18
drink so much water,behaviour,drink so much,18
drool so much,behaviour,drool so much,19
eat everything,behaviour,eat everything,20
eat grass,behaviour,eat grass,21
eat his poop,behaviour,eat poop / eat his poop,22
eat poop,behaviour,eat poop / eat his poop,22
fart so much,odeur,fart so much,74
follow me everywhere,gets personal,follow me everywhere,37
follows me everywhere,gets personal,follow me everywhere,37
get hiccups,health,get hiccups,47
groan,noise,cry / groan / whine,62
growl,noise,growl,63
growl at me,gets personal,growl at me,38
grunt,noise,grunt,64
has bumps,health,has lumps / bumps / hives,48
has lumps,health,has lumps / bumps / hives,48
have a long tail,appearance,have a long / short / curly tail,1
have a short tail,appearance,have a long / short / curly tail,1
have a curly tail,appearance,have a long / short / curly tail,1
have a long nose,appearance,have a long nose,2
have brown eyes,appearance,have brown eyes,3
have brown spots,appearance,have spots / brown spots,7
have bumps,health,has lumps / bumps / hives,48
have diarrhea,health,have diarrhea,49
have floppy ears,appearance,have floppy / pointy ears / ears down,4
have pointy ears,appearance,have floppy / pointy ears / ears down,4
have hives,health,has lumps / bumps / hives,48
have no wrinkles,appearance,have no wrinkles,5
have red eyes,health,have red eyes,50
have curly hair,appearance,have short / long / curly / white hair,6
have short hair,appearance,have short / long / curly / white hair,6
have straight hair,appearance,have short / long / curly / white hair,6
have white hair,appearance,have short / long / curly / white hair,6
have spots,appearance,have spots / brown spots,7
howl,noise,howl,65
howl when i leave,gets personal,howl when i leave,39
itch so much,health,itch so much,51
jump on me,gets personal,jump on me,40
