title,category,link,image,details_type,details
Australian Silky Terrier,Toy,/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/,/media/1601/australian-silky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802110000000,Size,Small
Australian Silky Terrier,Toy,/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/,/media/1601/australian-silky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802110000000,Exercise,Up to 30 minutes per day
Australian Silky Terrier,Toy,/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/,/media/1601/australian-silky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802110000000,Size of home,Flat/ Apartment
Australian Silky Terrier,Toy,/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/,/media/1601/australian-silky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802110000000,Grooming,Every day
Australian Silky Terrier,Toy,/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/,/media/1601/australian-silky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802110000000,Coat length,Medium
Australian Silky Terrier,Toy,/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/,/media/1601/australian-silky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802110000000,Sheds,Yes
Australian Silky Terrier,Toy,/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/,/media/1601/australian-silky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802110000000,Lifespan,Over 12 years
Australian Silky Terrier,Toy,/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/,/media/1601/australian-silky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802110000000,Vulnerable native breed,No
Australian Silky Terrier,Toy,/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/,/media/1601/australian-silky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802110000000,Town or country,Either
Australian Silky Terrier,Toy,/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/,/media/1601/australian-silky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802110000000,Size of garden,Small/ medium garden
Australian Shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Size,Medium
Australian Shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Exercise,More than 2 hours per day
Australian Shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Size of home,Large house
Australian Shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Grooming,More than once a week
Australian Shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Coat length,Medium
Australian Shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Sheds,Yes
