title,rename,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed
Affenpinscher,,Toy,/search/breeds-a-to-z/breeds/toy/affenpinscher/,/media/1598/affenpinscher-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143801810000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Afghan Hound,,Hound,/search/breeds-a-to-z/breeds/hound/afghan-hound/,/media/2905/afghan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140445440000000,Long,More than 2 hours per day,Every day,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Airedale Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/airedale-terrier/,/media/1517/airedale-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143775620000000,Medium,Up to 1 hour per day,Every day,Over 10 years,Yes,Medium,Large garden,Large house,Either,No
Akita,,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Alaskan Malamute,,Working,/search/breeds-a-to-z/breeds/working/alaskan-malamute/,/media/2906/alaskan-malamute-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872040000000,Medium,More than 2 hours per day,Every day,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Anatolian Shepherd Dog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/,/media/1910/anatolian-shepherd-dog-llustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470400000000,Short,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Australian Cattle Dog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/,/media/1410/australian-cattle-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470550000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Country,No
Australian Shepherd,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Australian Silky Terrier,,Toy,/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/,/media/1601/australian-silky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802110000000,Medium,Up to 30 minutes per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Australian Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/australian-terrier/,/media/1520/australian-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143778950000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
