title,search_term,dog_order,dog_order_by_size,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed
Yorkshire Terrier,yorkshire+terrier,60,1,Toy,/search/breeds-a-to-z/breeds/toy/yorkshire-terrier/,/media/1665/yorkshire-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143811590000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Whippet,whippet,59,2,Hound,/search/breeds-a-to-z/breeds/hound/whippet/,/media/1405/whippet-illustration.png?mode=crop&anchor=center&width=81&height=81&rnd=132404261230000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Weimaraner,weimaraner,58,1,Gundog,/search/breeds-a-to-z/breeds/gundog/weimaraner/,/media/1199/weimaraner-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132410081670000000,Short & long,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Vizsla,vizsla,57,1,,,,,,,,,Medium,,,,
Staffordshire Bull Terrier,staffy,56,3,Terrier,/search/breeds-a-to-z/breeds/terrier/staffordshire-bull-terrier/,/media/1589/staffordshire-bull-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143800790000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
St. Bernard,st+bernard,55,2,Working,/search/breeds-a-to-z/breeds/working/st-bernard/,/media/2977/st-bernard-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238760000000,Short,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Spaniel (English Springer),springer+spaniel,54,2,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No
Siberian Husky,husky,53,3,Working,/search/breeds-a-to-z/breeds/working/siberian-husky/,/media/2666/siberian-husky-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238560000000,Short,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Shih Tzu,shih+tzu,52,4,Utility,/search/breeds-a-to-z/breeds/utility/shih-tzu/,/media/2976/shih-tzu-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870800000000,Long,Up to 1 hour per day,Every day,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Shiba Inu,shiba+inu,51,4,,,,,,,,,Medium,,,,
Shar Pei,shar+pei,50,5,Utility,/search/breeds-a-to-z/breeds/utility/shar-pei/,/media/1737/shar-pei-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870590000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
