title,search_term,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed,breed_in_query,queries,term,suggestion,str_position,search_start,search_end,search_category
Akita,akita,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita bark so much,12,why does my,bark so much,noise
Akita,akita,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita growl at me,12,why does my,growl at me,0
Akita,akita,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita howl,12,why does my,howl,noise
Akita,akita,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita lick me,12,why does my,lick me,0
Akita,akita,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita bite me,12,why does my,bite me,0
Akita,akita,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita pant so much,12,why does my,pant so much,0
Akita,akita,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita sleep so much,12,why does my,sleep so much,laziness
Akita,akita,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita follow me everywhere,12,why does my,follow me everywhere,behaviour
Akita,akita,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita nibble on me,12,why does my,nibble on me,0
Akita,akita,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita lean on me,12,why does my,lean on me,0
Australian Shepherd,australian+shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,australian+shepherd,why+does+my+australian+shepherd,why+does+my+australian+shepherd,why does my australian shepherd sit on me,12,why does my,sit on me,0
