Breed In Query,Category,Coat length,Exercise,Grooming,Image,Lifespan,Link,Queries,Search Category,Search End,Search End (group),Search End (group) 1,Search Start,Search Term,Sheds,Size,Size of garden,Size of home,Suggestion,Term,Title,Town or country,Vulnerable native breed,Str Position
akita,Utility,Short,More than 2 hours per day,Once a week,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/akita/,why+does+my+akita,noise,howl,"howl, keeps howling, niel howl",howl,why does my,akita,Yes,Large,Large garden,Large house,why does my akita howl,why+does+my+akita,Akita,Either,No,12
akita,Utility,Short,More than 2 hours per day,Once a week,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/akita/,why+does+my+akita,pant,growl at me,growl at me,growl at me,why does my,akita,Yes,Large,Large garden,Large house,why does my akita growl at me,why+does+my+akita,Akita,Either,No,12
akita,Utility,Short,More than 2 hours per day,Once a week,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/akita/,why+does+my+akita,noise,pant so much,"pant all the time, pant so much, panting and 3 more",pant so much,why does my,akita,Yes,Large,Large garden,Large house,why does my akita pant so much,why+does+my+akita,Akita,Either,No,12
akita,Utility,Short,More than 2 hours per day,Once a week,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/akita/,why+does+my+akita,laziness,sleep so much,sleep so much,sleep so much,why does my,akita,Yes,Large,Large garden,Large house,why does my akita sleep so much,why+does+my+akita,Akita,Either,No,12
akita,Utility,Short,More than 2 hours per day,Once a week,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/akita/,why+does+my+akita,behaviour,drink so much,drink so much,drink so much & drink so much water,why does my,akita,Yes,Large,Large garden,Large house,why does my akita drink so much,why+does+my+akita,Akita,Either,No,12
akita,Utility,Short,More than 2 hours per day,Once a week,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/akita/,why+does+my+akita,0,shed so much,"shed, shed so much, shedding a lot and 3 more",shed & shed so much,why does my,akita,Yes,Large,Large garden,Large house,why does my akita shed so much,why+does+my+akita,Akita,Either,No,12
akita,Utility,Short,More than 2 hours per day,Once a week,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/akita/,why+does+my+akita,health,keep sneezing,keep sneezing,keep sneezing,why does my,akita,Yes,Large,Large garden,Large house,why does my akita keep sneezing,why+does+my+akita,Akita,Either,No,12
akita,Utility,Short,More than 2 hours per day,Once a week,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/akita/,why+does+my+akita,behaviour,lick me,lick me & lick me so much,lick me,why does my,akita,Yes,Large,Large garden,Large house,why does my akita lick me,why+does+my+akita,Akita,Either,No,12
akita,Utility,Short,More than 2 hours per day,Once a week,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/akita/,why+does+my+akita,behaviour,follow me everywhere,follow me everywhere,follow me everywhere & follows me everywhere,why does my,akita,Yes,Large,Large garden,Large house,why does my akita follow me everywhere,why+does+my+akita,Akita,Either,No,12
akita,Utility,Short,More than 2 hours per day,Once a week,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/akita/,why+does+my+akita,behaviour,bite me,bite me,bite me,why does my,akita,Yes,Large,Large garden,Large house,why does my akita bite me,why+does+my+akita,Akita,Either,No,12
australian+shepherd,Pastoral,Medium,More than 2 hours per day,More than once a week,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Over 10 years,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,why+does+my+australian+shepherd,behaviour,sit on me,"sit on me, y saint bernard sit on me, y st bernard sit on me",sit on me,why does my,australian+shepherd,Yes,Medium,Large garden,Large house,why does my australian shepherd sit on me,why+does+my+australian+shepherd,Australian Shepherd,Country,No,12
australian+shepherd,Pastoral,Medium,More than 2 hours per day,More than once a week,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Over 10 years,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,why+does+my+australian+shepherd,behaviour,follow me everywhere,follow me everywhere,follow me everywhere & follows me everywhere,why does my,australian+shepherd,Yes,Medium,Large garden,Large house,why does my australian shepherd follow me everywhere,why+does+my+australian+shepherd,Australian Shepherd,Country,No,12
